id,name,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,city,state,market,zipcode,property_type,room_type,accommodates1,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,calculated_host_listings_count,reviews_per_month
241032,Stylish Queen Anne Apartment,956883,Maija,11-Aug-11,"Seattle, Washington, United States",96%,100%,f,Queen Anne,3,3,t,t,"Gilman Dr W, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85,,,2,$5.00 ,1,365,t,14,41,71,346,207,95,10,10,10,10,9,10,f,f,moderate,f,2,4.07
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,21-Feb-13,"Seattle, Washington, United States",98%,100%,t,Queen Anne,6,6,t,t,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150,100,40,1,$0.00 ,2,90,t,13,13,16,291,43,96,10,10,10,10,10,10,f,f,strict,t,6,1.48
3308979,New Modern House-Amazing water view,16708587,Jill,12-Jun-14,"Seattle, Washington, United States",67%,100%,f,Queen Anne,2,2,t,t,"West Lee Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,11,4.5,5,7,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975,1000,300,10,$25.00 ,4,30,t,1,6,17,220,20,97,10,10,10,10,10,10,f,f,strict,f,2,1.15
7421966,Queen Anne Chateau,9851441,Emily,6-Nov-13,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,t,"8th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",100,,,1,$0.00 ,1,1125,t,0,0,0,143,0,,,,,,,,f,f,flexible,f,1,
278830,Charming craftsman 3 bdm house,1452570,Emily,29-Nov-11,"Seattle, Washington, United States",100%,N/A,f,Queen Anne,2,2,t,t,"14th Ave W, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450,700,125,6,$15.00 ,1,1125,t,30,60,90,365,38,92,9,9,10,10,9,9,f,f,strict,f,1,0.89
5956968,Private unit in a 1920s mansion,326758,Andrew,25-Dec-10,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,t,"West Comstock Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",120,,40,1,$30.00 ,1,6,t,0,0,27,302,17,95,10,10,10,10,10,10,f,f,strict,f,1,2.45
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,30-May-12,"Seattle, Washington, United States",100%,100%,t,Queen Anne,1,1,t,t,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80,150,,1,$10.00 ,3,14,t,20,49,71,346,58,99,10,10,10,10,10,10,f,f,moderate,f,1,2.46
856550,Tiny Garden cabin on Queen Anne,4016632,Jean-Marc,30-Oct-12,"Seattle, Washington, United States",100%,100%,t,Queen Anne,5,5,t,t,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Cabin,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60,150,25,1,$0.00 ,2,7,t,22,42,42,100,173,97,10,10,10,10,9,10,f,f,strict,t,5,4.73
4948745,Urban Charm || Downtown || Views,2166277,Aliza,18-Apr-12,"Seattle, Washington, United States",N/A,100%,f,Queen Anne,1,1,t,t,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,Seattle,WA,Seattle,98109,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90,,,1,$0.00 ,3,1125,t,6,36,66,341,8,97,10,9,10,9,10,10,f,f,strict,f,1,1.22
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,21-Feb-13,"Seattle, Washington, United States",98%,100%,t,Queen Anne,6,6,t,t,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150,100,40,1,$0.00 ,2,365,t,6,19,49,324,32,97,10,10,10,10,10,9,f,f,strict,t,6,1.55
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,19-Sep-10,"Seattle, Washington, United States",100%,100%,t,Queen Anne,1,1,t,t,"1st Ave W, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",95,,15,2,$15.00 ,3,7,t,0,0,0,153,181,97,10,10,10,10,10,10,f,f,moderate,t,1,3.33
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,6-Jan-13,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",99,500,150,1,$0.00 ,3,1125,t,21,21,21,229,8,97,10,10,9,10,10,9,f,f,strict,f,1,0.98
8889257,Elegance in Historic Queen Anne,25899989,Ellie,10-Jan-15,"Kirkland, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"West Prospect Street, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,5,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",165,400,85,4,$20.00 ,2,1125,t,13,40,63,337,3,100,10,10,9,9,10,10,f,f,strict,f,1,3
5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,10-Oct-14,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Entire home/apt,16,3.5,6,15,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",461,1500,300,8,$50.00 ,3,29,t,19,40,65,327,18,98,9,10,10,10,10,10,f,t,strict,f,1,2.65
3245876,Park Life in Lower Queen Anne,9465817,Libby,16-Oct-13,"Seattle, Washington, United States",100%,100%,f,Queen Anne,1,1,t,t,"West Mercer Place, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",66,100,35,1,$25.00 ,1,10,t,29,59,89,364,84,95,10,9,10,10,10,9,f,f,moderate,f,1,4.55
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,31-Dec-14,"Seattle, Washington, United States",100%,100%,t,Queen Anne,1,1,t,t,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",99,100,15,1,$0.00 ,2,14,t,29,52,82,171,45,98,10,10,10,10,10,10,f,t,moderate,f,1,4.58
7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,30-Apr-13,"Seattle, Washington, United States",N/A,N/A,f,Queen Anne,1,1,t,t,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,Seattle,WA,Seattle,98119,Apartment,Private room,2,2,1,1,Futon,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",200,,,1,$0.00 ,1,1125,t,0,0,0,125,0,,,,,,,,f,f,flexible,f,1,
